term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"KPI","RU","B","1","business-control-system.html index.html questionnaire.html","META OPEN_GRAPH TWITTER JSON_LD","Business Control System — система управления бизнесом через цифры: P&L, Cash Flow, казначейство, KPI, Power BI и регламенты. От 5 000 €, срок 1–3 месяца.","15","CRITICAL","Ключевые показатели бизнеса","Indicatori-cheie de performanță","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","short repeat: Ключевые показатели / Indicatori-cheie"
"KPI","RO","B","1","ro/business-control-system.html ro/index.html ro/questionnaire.html","META OPEN_GRAPH TWITTER JSON_LD","Business Control System — sistemul de management al afacerii prin cifre: P&L, Cash Flow, trezorerie, KPI, Power BI și regulamente. De la 5 000 €, termen 1–3 lun","15","CRITICAL","Ключевые показатели бизнеса","Indicatori-cheie de performanță","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","short repeat: Ключевые показатели / Indicatori-cheie"
"Financial Health Check","RU","B","1","financial-health-check.html questionnaire.html","META OPEN_GRAPH TWITTER JSON_LD","Financial Health Check — экспресс-диагностика финансовой системы бизнеса: карта болей, критические риски и roadmap на 30/60/90 дней. От 1 500 €, срок 1–2 недели","13","CRITICAL","Экспертная финансовая диагностика","Diagnostic financiar","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","entry offer name"
"Financial Health Check","RO","B","1","ro/financial-health-check.html ro/questionnaire.html","META OPEN_GRAPH TWITTER JSON_LD","Financial Health Check — diagnostic expres al sistemului financiar al afacerii: harta problemelor, riscurile critice și un roadmap pentru 30/60/90 de zile. De l","13","CRITICAL","Экспертная финансовая диагностика","Diagnostic financiar","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","entry offer name"
"Control Light","RU","E","1","index.html monthly-cfo-support.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Внедрение системы или ежемесячное сопровождение Control Light.","11","CRITICAL","Лёгкий контроль","Control simplificat","YES","YES","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","package tier name"
"AI","RU","B","1","index.html","META","внешний CFO, финансовый директор, управленческий учёт, управленческая отчётность, P&L, Cash Flow, казначейство, KPI, бизнес-контроль, Power BI, AI автоматизация","1","CRITICAL","Искусственный интеллект","Inteligență artificială","YES","NO","Needed to understand the offer or the next step before contacting FINMENTOR.","NO","HIGH","FAIL","short repeat: ИИ / IA"
"DPO","RU","B","1","cash-flow.html fcf-postavshiki.html index.html","PROSE CARD CTA META OPEN_GRAPH JSON_LD TWITTER","Контролировать нужно DSO (дни дебиторки), DPO (дни кредиторки), DIO (дни запасов) и cash conversion cycle.","45","HIGH","Срок оплаты поставщикам","Termenul de plată la furnizori","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"DPO","RO","B","1","ro/cash-flow.html ro/fcf-postavshiki.html ro/index.html","PROSE CARD CTA META OPEN_GRAPH JSON_LD TWITTER","Trebuie controlate DSO (zilele creanțelor), DPO (zilele datoriilor către furnizori), DIO (zilele stocurilor) și cash conversion cycle.","45","HIGH","Срок оплаты поставщикам","Termenul de plată la furnizori","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Email","RU","A","1","ai-dlya-cfo.html business-control-system.html capacity-released.html","PROSE ARIA BUTTON","Email","34","HIGH","Электронная почта","E-mail","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Email","RO","A","1","ro/ai-dlya-cfo.html ro/business-control-system.html ro/capacity-released.html","PROSE ARIA BUTTON","Email","34","HIGH","Электронная почта","E-mail","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"FCF","RO","B","1","ro/fcf-postavshiki.html ro/index.html ro/margin-factor-analysis-flags.html","TITLE META OPEN_GRAPH TWITTER JSON_LD PROSE CTA","Finanțare din creditul furnizorilor și FCF pe articol de stoc | FINMENTOR","34","HIGH","Свободный денежный поток","Flux de numerar liber","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"FCF","RU","B","1","fcf-postavshiki.html index.html margin-factor-analysis-flags.html","TITLE META OPEN_GRAPH TWITTER JSON_LD PROSE CTA","Финансирование за счёт поставщиков и FCF по товарной позиции | FINMENTOR","33","HIGH","Свободный денежный поток","Flux de numerar liber","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"DSO","RU","B","1","cash-flow.html fcf-postavshiki.html index.html","PROSE CARD CTA META OPEN_GRAPH TWITTER JSON_LD","Контролировать нужно DSO (дни дебиторки), DPO (дни кредиторки), DIO (дни запасов) и cash conversion cycle.","26","HIGH","Срок оплаты от клиентов","Termenul de încasare de la clienți","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"DSO","RO","B","1","ro/cash-flow.html ro/fcf-postavshiki.html ro/index.html","PROSE CARD CTA META OPEN_GRAPH TWITTER JSON_LD","Trebuie controlate DSO (zilele creanțelor), DPO (zilele datoriilor către furnizori), DIO (zilele stocurilor) și cash conversion cycle.","26","HIGH","Срок оплаты от клиентов","Termenul de încasare de la clienți","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"promo","RU","A","1","index.html materials.html retail-margin-engine.html","PROSE CARD META OPEN_GRAPH TWITTER JSON_LD","Норма маржи на линейный метр, м², категорию и товарная позиция; продажи, остатки, promo, retrobonus, поставщики и финансирование товарной полки поставщиком.","21","HIGH","промоакция","promoție","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Sheets","RO","C","1","ro/ai-dlya-cfo.html ro/cases.html ro/index.html","PROSE CARD META OPEN_GRAPH TWITTER JSON_LD","— scenarii care leagă sistemele: 1C, Google Sheets, CRM, BI și mesageriile.","19","HIGH","Google Sheets","Google Sheets","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","PASS","fragment of the product name Google Sheets"
"Cash","RU","A","1","cash-flow.html client-base-control-system.html index.html","PROSE CARD TITLE META OPEN_GRAPH TWITTER JSON_LD","Прибыль есть, денег нет: Прибыль и убытки и Cash","18","HIGH","Деньги","Numerar","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Cash","RO","A","1","ro/cash-flow.html ro/client-base-control-system.html ro/index.html","PROSE CARD TITLE META OPEN_GRAPH TWITTER JSON_LD","Profit există, bani nu: P&L și Cash","18","HIGH","Деньги","Numerar","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Make","RU","D","1","ai-dlya-cfo.html fcf-postavshiki.html index.html","META OPEN_GRAPH TWITTER JSON_LD PROSE CARD","Где ИИ реально помогает финансам: автоматизация отчётов, ИИ-агенты, Make и n8n, Telegram alerts, а также риски и ограничения.","17","HIGH","автоматизация","automatizare","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","an automation tool name; describe the benefit instead"
"retrobonus","RU","A","1","index.html materials.html retail-margin-engine.html","PROSE META OPEN_GRAPH TWITTER CARD JSON_LD","Норма маржи на линейный метр, м², категорию и товарная позиция; продажи, остатки, promo, retrobonus, поставщики и финансирование товарной полки поставщиком.","17","HIGH","ретробонус","retrobonus","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","already a loanword in both languages"
"Make","RO","D","1","ro/ai-dlya-cfo.html ro/fcf-postavshiki.html ro/index.html","META OPEN_GRAPH TWITTER JSON_LD PROSE CARD","Unde ajută IA cu adevărat finanțele: automatizarea rapoartelor, agenți IA, Make și n8n, alerte Telegram, plus riscuri și limite.","17","HIGH","автоматизация","automatizare","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","an automation tool name; describe the benefit instead"
"Cash Saving","RU","B","1","ai-agent-economics.html capacity-released.html client-base-control-system.html","PROSE TITLE META OPEN_GRAPH TWITTER JSON_LD CARD","Высвобожденная мощность Cash Saving — почему высвобожденные часы ещё не экономия","16","HIGH","Денежная экономия","Economie în numerar","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"cash flow","RU","B","1","cases.html cash-flow.html index.html","PROSE CARD","Картина не только по прибыли, но и по cash flow.","16","HIGH","денежный поток","flux de numerar","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Cash Saving","RO","B","1","ro/ai-agent-economics.html ro/capacity-released.html ro/client-base-control-system.html","PROSE TITLE META OPEN_GRAPH TWITTER JSON_LD CARD","Capacitate eliberată ≠ Cash Saving — de ce orele eliberate încă nu sunt economie","16","HIGH","Денежная экономия","Economie în numerar","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Client Base Control System","RU","E","1","client-base-control-system.html index.html materials.html","TITLE OPEN_GRAPH TWITTER JSON_LD PROSE BUTTON","Client Base Control System — клиентская база под управлением | FINMENTOR","15","HIGH","Система управления клиентской базой","Sistem de management al bazei de clienți","YES","YES","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","MODULE"
"Funding Gap","RU","E","1","fcf-postavshiki.html index.html treasury-waterfall.html","PROSE CTA CARD","Funding Gap 0 → компания финансирует товар своими деньгами. Funding Gap ≤ 0 → поставщик полностью покрывает операционный цикл.","13","HIGH","Дефицит финансирования","Deficit de finanțare","YES","YES","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","metric"
"Funding Gap","RO","E","1","ro/fcf-postavshiki.html ro/index.html ro/treasury-waterfall.html","PROSE CTA CARD","Funding Gap > 0 → compania finanțează marfa cu banii săi. Funding Gap ≤ 0 → furnizorul acoperă complet ciclul operațional.","13","HIGH","Дефицит финансирования","Deficit de finanțare","YES","YES","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL","metric"
"Light","RO","E","1","ro/index.html ro/monthly-cfo-support.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Implementarea sistemului sau suportul lunar Control Light.","12","HIGH","Лёгкий","Simplificat","NO","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL","fragment of the package tier «Control Light»"
"Full Cost","RU","B","1","ai-agent-economics.html capacity-released.html index.html","TWITTER JSON_LD PROSE META OPEN_GRAPH","FINMENTOR помогает измерить экономику ИИ: Full Cost, Стоимость принятого результата, Отдача от вложений в искусственный интеллект, выбор модели, бюджет и govern","11","HIGH","Полная стоимость","Costul total","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL",""
"BI","RU","A","1","ai-dlya-cfo.html index.html kaznacheystvo.html","PROSE","— сценарии, которые соединяют системы: 1С, Google Sheets, CRM, BI и мессенджеры.","11","HIGH","аналитика","analiză","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL","never as a bare abbreviation; Power BI stays"
"vacancy","RU","A","1","index.html real-estate-control-system.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Арендаторы и договоры, NOI, Cap Rate, vacancy, капитальные вложения , tenant rating, окупаемость.","11","HIGH","вакантность","grad de neocupare","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL",""
"Retail","RU","A","1","index.html materials.html questionnaire.html","PROSE CARD","В недвижимость и аренда актив — объект и арендатор. В Retail — полка, категория и товарная позиция. В оптовая торговля / дистрибуция — склад и дебиторка. В инте","11","HIGH","Розничная торговля","Comerț cu amănuntul","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Full Cost","RO","B","1","ro/ai-agent-economics.html ro/capacity-released.html ro/index.html","TWITTER JSON_LD PROSE META OPEN_GRAPH","FINMENTOR ajută la măsurarea economiei IA: Full Cost, Costul unui rezultat acceptat, Randamentul investiției în inteligență artificială, alegerea modelului, bug","11","HIGH","Полная стоимость","Costul total","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL",""
"Retail","RO","A","1","ro/index.html ro/materials.html ro/questionnaire.html","PROSE CARD","În imobiliare și închiriere activul este imobilul și chiriașul. În Retail — raftul, categoria și articol de stoc. În comerț cu ridicata / distribuție — depozitu","11","HIGH","Розничная торговля","Comerț cu amănuntul","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"CFO-","RU","A","1","ai-agent-economics.html fcf-postavshiki.html index.html","JSON_LD META OPEN_GRAPH TWITTER","CFO-модель FINMENTOR для финансового контроля цифрового труда: Full Cost, стоимость принятого результата, стоимость того же результата у человека, отдача от вло","10","HIGH","финансовый","financiar","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","MEDIUM","FAIL","compound prefix: CFO-система → финансовая система"
"Inventory Days","RU","B","1","fcf-postavshiki.html index.html","PROSE CARD","отсрочку нужно сравнивать с полным циклом — Inventory Days + DSO.","10","HIGH","Дни запасов","Zile de stoc","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"cash gap","RU","A","1","index.html kaznacheystvo.html power-bi-dlya-sobstvennika.html","PROSE CTA","Unit economics, CAC, LTV, ROAS, логистика, возвраты, склад, товарная позиция-profitability, cash gap.","10","HIGH","кассовый разрыв","gol de numerar","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"email","RU","A","1","privacy.html questionnaire.html supplier-rating-purchasing-priorities.html","PROSE CARD","Настоящая Политика описывает, какие данные обрабатывает FINMENTOR (авторская практика внешнего финансового директора Геннадия Яковлева, далее — «мы»), с какой ц","10","HIGH","электронная почта","e-mail","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Owner","RO","A","1","ro/ai-agent-economics.html ro/index.html ro/retail-margin-engine.html","PROSE CARD","Owner tablou de bord concept","10","HIGH","Собственник","Proprietar","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Inventory Days","RO","B","1","ro/fcf-postavshiki.html ro/index.html","PROSE CARD","amânarea trebuie comparată cu ciclul complet — Inventory Days + DSO.","10","HIGH","Дни запасов","Zile de stoc","YES","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Owner","RU","A","1","ai-agent-economics.html index.html retail-margin-engine.html","PROSE CARD","Owner панель собственника concept","9","HIGH","Собственник","Proprietar","NO","NO","Appears in a button, card or formula where the customer decides.","YES","MEDIUM","FAIL",""
"Retail Margin Engine","RU","E","1","index.html retail-margin-engine.html","ARIA OPEN_GRAPH TWITTER JSON_LD","Из разработок FINMENTOR — Retail Margin Engine","7","MEDIUM","Система управления маржой в рознице","Sistem de management al marjei în retail","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","MODULE"
"tenant rating","RU","A","1","index.html real-estate-control-system.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Арендаторы и договоры, NOI, Cap Rate, vacancy, капитальные вложения , tenant rating, окупаемость.","7","MEDIUM","рейтинг арендаторов","ratingul chiriașilor","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"NOI","RU","B","1","index.html real-estate-control-system.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Арендаторы и договоры, NOI, Cap Rate, vacancy, капитальные вложения , tenant rating, окупаемость.","7","MEDIUM","Чистый операционный доход","Venit operațional net","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"rent vs market","RU","A","1","index.html real-estate-control-system.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","NOI, vacancy, tenant rating, rent vs market, deposit coverage, капитальные вложения payback, cash flow, risk traffic light.","7","MEDIUM","аренда против рынка","chiria față de piață","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Retail Margin Engine","RO","E","1","ro/index.html ro/retail-margin-engine.html","ARIA OPEN_GRAPH TWITTER JSON_LD","Din dezvoltările FINMENTOR — Retail Margin Engine","7","MEDIUM","Система управления маржой в рознице","Sistem de management al marjei în retail","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","MODULE"
"NOI","RO","B","1","ro/index.html ro/real-estate-control-system.html","PROSE META OPEN_GRAPH TWITTER JSON_LD","Chiriași și contracte, NOI, Cap Rate, vacancy, investiții de capital , tenant rating, recuperarea investiției.","7","MEDIUM","Чистый операционный доход","Venit operațional net","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"ERP","RU","B","1","fcf-postavshiki.html margin-factor-analysis-flags.html questionnaire.html","PROSE CARD","Прямые расходы — только первый слой. Бизнес несёт ещё постоянные затраты, не привязанные к конкретному товару, но без которых он не существует: аренда и зарплат","6","MEDIUM","Учётная система","Sistem de evidență","YES","NO","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL",""
"Margin Gap","RU","E","1","index.html retail-margin-engine.html","PROSE CARD","Target Marja, margin per meter, товарная позиция profitability, Margin Gap, финансирование товарной полки поставщиком, retrobonus, promo economics.","6","MEDIUM","Разрыв маржи","Deficit de marjă","YES","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","metric"
"ERP","RO","B","1","ro/fcf-postavshiki.html ro/margin-factor-analysis-flags.html ro/questionnaire.html","PROSE CARD","Cheltuielile directe sunt doar primul strat. Afacerea suportă și costuri fixe, nelegate de un produs concret, dar fără de care nu există: chiria și salariile de","6","MEDIUM","Учётная система","Sistem de evidență","YES","NO","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL",""
"Margin Gap","RO","E","1","ro/index.html ro/retail-margin-engine.html","PROSE CARD","Target Marja, margin per meter, articol de stoc profitability, Margin Gap, finanțarea stocului de către furnizor, retrobonus, promo economics.","6","MEDIUM","Разрыв маржи","Deficit de marjă","YES","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","metric"
"Control System","RU","E","1","index.html real-estate-control-system.html","CARD TITLE PROSE","Недвижимость и аренда Control System","5","MEDIUM","Система управления","Sistem de management","YES","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","module-name fragment"
"Standard","RU","A","1","ai-agent-economics.html index.html monthly-cfo-support.html","PROSE","Расширенное сопровождение, дополнительные встречи, контроль денежный поток / прибыль и убытки / платежей и панель собственника-review — форматы Standard и Premi","4","MEDIUM","Стандартный","Standard","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"ROI","RU","B","1","ai-agent-economics.html capacity-released.html index.html","PROSE","Governance предшествует МАСШТАБИРОВАТЬ. Высокий ROI не должен обходить governance breach.","4","MEDIUM","Отдача от вложений","Randamentul investiției","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"ROI","RO","B","1","ro/ai-agent-economics.html ro/capacity-released.html ro/index.html","PROSE","Governance-ul precedă EXTINDERE. Un ROI ridicat nu trebuie să ocolească un governance breach.","4","MEDIUM","Отдача от вложений","Randamentul investiției","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Sheets","RU","C","1","ai-dlya-cfo.html cases.html questionnaire.html","PROSE","Сбор отчётов, обновление дашбордов, уведомления о платежах и отклонениях, интеграции между 1С, Sheets, CRM и BI. Это даёт быстрый эффект при низком риске.","3","MEDIUM","Google Sheets","Google Sheets","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","PASS","fragment of the product name Google Sheets"
"Fitness Membership Renewal Engine","RU","E","1","client-base-control-system.html index.html materials.html","PROSE","Client Base Control System · вертикаль Fitness Membership Renewal Engine — выросшая из помесячного управленческого цикла в реальном бизнесе.","3","MEDIUM","Система продления абонементов","Sistem de reînnoire a abonamentelor","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","MODULE"
"Target Marja","RU","E","1","index.html retail-margin-engine.html","PROSE FORMULA","Target Marja, margin per meter, товарная позиция profitability, Margin Gap, финансирование товарной полки поставщиком, retrobonus, promo economics.","3","MEDIUM","Целевая маржа","Marjă țintă","NO","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","pre-existing mixed-language artifact in the source"
"Fitness","RU","A","1","index.html questionnaire.html","PROSE","В недвижимость и аренда актив — объект и арендатор. В Retail — полка, категория и товарная позиция. В оптовая торговля / дистрибуция — склад и дебиторка. В инте","3","MEDIUM","Фитнес / спортивный бизнес","Fitness / activități sportive","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"light-","RU","A","1","index.html monthly-cfo-support.html","PROSE","light-формат","3","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Premium","RU","A","1","index.html monthly-cfo-support.html","PROSE","Расширенное сопровождение, дополнительные встречи, контроль денежный поток / прибыль и убытки / платежей и панель собственника-review — форматы Standard и Premi","3","MEDIUM","Премиальный","Premium","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"cookies","RU","A","1","privacy.html","PROSE","Сайт использует Google Analytics 4 для обезличенной статистики посещений и взаимодействий. Google Analytics загружается только после вашего явного согласия в ба","3","MEDIUM","файлы cookie","fișiere cookie","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","privacy text — the legal term of art"
"OpenAI","RU","C","1","privacy.html","PROSE","— подготовка внутреннего аналитического плана работы по вашему запросу. В OpenAI передаются","3","MEDIUM","OpenAI","OpenAI","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","PASS","proper company name"
"NDA","RU","B","1","privacy.html questionnaire.html","PROSE","9. Удалённая работа, конфиденциальность и NDA","3","MEDIUM","Соглашение о неразглашении","Acord de confidențialitate","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Monthly","RO","A","1","ro/ai-agent-economics.html ro/index.html","PROSE","Control director financiar regulat (Monthly) sau BI / automatizare.","3","MEDIUM","Ежемесячно","Lunar","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Fitness Membership Renewal Engine","RO","E","1","ro/client-base-control-system.html ro/index.html ro/materials.html","PROSE","Client Base Control System · verticala Fitness Membership Renewal Engine — crescută dintr-un ciclu managerial lunar într-un business real.","3","MEDIUM","Система продления абонементов","Sistem de reînnoire a abonamentelor","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","MODULE"
"Target Marja","RO","E","1","ro/index.html ro/retail-margin-engine.html","PROSE FORMULA","Target Marja, margin per meter, articol de stoc profitability, Margin Gap, finanțarea stocului de către furnizor, retrobonus, promo economics.","3","MEDIUM","Целевая маржа","Marjă țintă","NO","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","pre-existing mixed-language artifact in the source"
